ANBIMA – Associação Brasileira das Entidades dos Mercados Financeiro e de Capitais. 
IHFA Carteira Teórica 
Validade da Carteira Teórica: 01/10/2020 a 31/12/2020
Data Início;Data Final;Fundo;CNPJ;Quantidade Teórica;Cota dos Fundos em 30/09/2020;Patrimônio Líquido em 30/09/2020 (R$ milhões);Participação Relativa (%)
01/10/2020;31/12/2020;BAHIA AM LONG BIASED FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;23.732.231/0001-95;7,1538;1,945056;609,74;0,37
01/10/2020;31/12/2020;BB MULTIMERCADO LONGO PRAZO GLOBAL VITA PRIVATE FUNDO DE INVESTIMENTO;11.802.604/0001-78;2,1842;2,760217;264,18;0,16
01/10/2020;31/12/2020;BB MULTIMERCADO LONGO PRAZO LONG BIAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;33.617.774/0001-15;2,3024;1,037275;104,65;0,06
01/10/2020;31/12/2020;BRADESCO FUNDO DE INVESTIMENTO MULTIMERCADO SEP 500 MAIS;18.079.540/0001-78;1,2136;2,638429;140,31;0,09
01/10/2020;31/12/2020;BTG PACTUAL DISCOVERY FUNDO DE INVESTIMENTO MULTIMERCADO;01.214.092/0001-75;1,0916;23,450363;1.121,77;0,68
01/10/2020;31/12/2020;BTG PACTUAL EQUITY TOF FUNDO DE INVESTIMENTO MULTIMERCADO;31.964.487/0001-56;3,0537;0,969330;129,71;0,08
01/10/2020;31/12/2020;BTG PACTUAL HIGHLANDS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;34.096.227/0001-02;4,7273;1,000157;207,19;0,13
01/10/2020;31/12/2020;BTG PACTUAL TOF FUNDO DE INVESTIMENTO MULTIMERCADO;23.657.960/0001-24;3,2670;1,461616;209,24;0,13
01/10/2020;31/12/2020;CANVAS ENDURO 30 CSHG FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;15.212.344/0001-31;3,1399;2,130953;293,20;0,18
01/10/2020;31/12/2020;CANVAS ENDURO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;18.480.735/0001-25;5,4251;2,075442;493,39;0,30
01/10/2020;31/12/2020;CANVAS ENDURO III FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;13.106.979/0001-29;2,8863;3,045737;385,22;0,23
01/10/2020;31/12/2020;CANVAS VECTOR CSHG FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;28.345.351/0001-53;4,3398;1,236132;235,08;0,14
01/10/2020;31/12/2020;CANVAS VECTOR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;28.866.524/0001-89;24,3872;1,238473;1.323,51;0,80
01/10/2020;31/12/2020;CGI I MULTIMERCADO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;29.232.917/0001-01;0,1663;14,415123;105,03;0,06
01/10/2020;31/12/2020;CHARLES DE GAULLE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;29.852.634/0001-54;2,1093;1,108859;102,49;0,06
01/10/2020;31/12/2020;CLARITAS LONG SHORT ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;27.944.406/0001-89;6,9056;1,079015;326,52;0,20
01/10/2020;31/12/2020;CLARITAS LONG SHORT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;05.109.839/0001-86;0,7653;10,914634;366,03;0,22
01/10/2020;31/12/2020;CLARITAS TOTAL RETURN FUNDO DE INVESTIMENTOS EM COTAS DE  FUNDO DE INVESTIMENTO MULTIMERCADO;29.298.540/0001-85;7,4327;1,272864;414,58;0,25
01/10/2020;31/12/2020;CSHG FUTURE TRENDS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO - IE;28.971.643/0001-00;2,3732;1,258722;130,90;0,08
01/10/2020;31/12/2020;CSHG MASTER GOLD ATIVO II FUNDO DE INVESTIMENTO MULTIMERCADO - CREDITO PRIVADO INVESTIMENTO NO EXTER;31.525.221/0001-07;22,9413;1,164183;1.170,35;0,71
01/10/2020;31/12/2020;CSHG PORTFOLIO FUTURE TRENDS FUNDO DE INVESTIMENTO EM COTAS DE FI MULTIMERCADO - IE;28.971.607/0001-38;14,8064;1,314562;852,92;0,52
01/10/2020;31/12/2020;CSHG VERDE AM  BETA 14 FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;04.806.420/0001-10;0,3638;67,153590;1.070,60;0,65
01/10/2020;31/12/2020;CSHG VERDE AM CARTEIRA ADMINISTRADA - REAL FUNDO DE INVESTIMENTO EM COTAS DE FI MULTIMERCADO;03.074.954/0001-37;0,0539;63,472453;149,79;0,09
01/10/2020;31/12/2020;CSHG VERDE AM STAR FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;03.536.908/0001-02;0,0607;38,431339;102,23;0,06
01/10/2020;31/12/2020;CSHG VERDE FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;01.221.890/0001-24;0,1375;177,187539;1.067,68;0,65
01/10/2020;31/12/2020;DAHLIA TOTAL RETURN A FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;33.346.346/0001-03;22,7642;1,257432;1.254,34;0,76
01/10/2020;31/12/2020;DAHLIA TOTAL RETURN ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;34.309.551/0001-53;29,8800;1,232071;1.613,22;0,98
01/10/2020;31/12/2020;DAHLIA TOTAL RETURN CSHG FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;29.242.437/0001-13;11,1497;1,607713;785,51;0,48
01/10/2020;31/12/2020;DAHLIA TOTAL RETURN FUNDO DE  INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;30.317.454/0001-51;17,9909;1,664323;1.312,10;0,80
01/10/2020;31/12/2020;DRAKEN FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;26.491.375/0001-95;2,7300;1,122305;134,26;0,08
01/10/2020;31/12/2020;ENTERPRISE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;27.945.311/0001-80;2,1422;1,124176;105,53;0,06
01/10/2020;31/12/2020;EXPLORITAS ALPHA AMERICA LATINA FUNDO DE INVESTIMENTO EM COTAS DE FI MULTIMERCADO;19.628.666/0001-17;0,0799;172,852137;605,19;0,37
01/10/2020;31/12/2020;FOF MULTI GLOBAL EQUITIES MULTIMERCADO INVESTIMENTO NO EXTERIOR FDO DE INV EM COTAS DE FDOS DE INVES;17.412.472/0001-54;0,1260;44,713075;246,90;0,15
